Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00051804,0.023581,-1.107E-05,0,0,0,0.043417,9.9656E-06,-2.555E-07,-5.2331E-09,6.3804E-06,-4.4082E-09,1.1002E-05,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/base_link.STL,,XL-430_new (2)-1,base_car,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg1_link,-9.8876E-05,0.057752,-0.0001823,0,0,0,0.11645,3.9635E-05,2.9446E-06,4.4082E-09,3.7085E-05,5.2331E-09,4.9387E-05,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/leg1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/leg1_link.STL,,leg1-real-1;XL-430_new (2)-3;leg3-real-part-1,joint1_car,joint1_,joint1,revolute,0,0.03525,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
leg2_link,-0.00096247,-0.0027245,-0.098096,0,0,0,0.25913,0.00086628,2.4954E-07,1.0337E-06,0.00086108,1.0491E-05,5.4494E-05,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/leg2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/leg2_link.STL,,leg2-1;XL-430_new (2)-2,joint2_car,joint2_,joint2,revolute,0.012,0.114,-0.0005,1.5708,0,1.5708,leg1_link,-1,0,0,0,0,0,0,,,,,,,,
leg3_link,0.088848,-0.01799,4.0547E-05,0,0,0,0.071316,6.6124E-06,4.9665E-06,-1.0204E-08,0.00020649,2.2416E-09,0.00020828,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/leg3_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg1_project.SLDALASM/meshes/leg3_link.STL,,leg3-real-part-2;leg3-real-1,joint3_car,joint3_,joint3,revolute,0.018,-0.03025,-0.18525,0,0,-1.5708,leg2_link,0,-1,0.0020513,0,0,0,0,,,,,,,,
